No,Keywords,Volume,Position,Est. Visits,SEO Difficulty,CPC,Ranking URL
125,cleaning with steamer,110000,10,139,39,1.51,http://thisoldhouse.com/tools/the-dirt-on-steam-cleaning
126,how much does mold clean up cost,3600,4,138,28,10.56,http://thisoldhouse.com/foundations/mold-remediation-cost
127,concrete aprons for driveways,4400,4,136,18,7.33,http://thisoldhouse.com/driveways/how-to-build-a-driveway-apron
128,fixing a roof shingle,3600,4,136,26,28.27,http://thisoldhouse.com/roofing/fixing-damaged-roof-shingles
129,how to bleed a heating radiator,4400,4,136,22,0,http://thisoldhouse.com/plumbing/how-to-bleed-a-radiator
130,foundation settling,1600,2,133,17,15.61,http://thisoldhouse.com/foundations/foundation-settling-vs-foundation-problems
131,this old house casting,5400,3,132,48,0,http://thisoldhouse.com/this-old-house/submit-your-house-to-appear-on-this-old-house-tv
132,extend downspout,22200,7,130,36,0.62,http://thisoldhouse.com/gutters/how-to-extend-a-downspout
133,door threshold,22200,7,130,29,1.06,http://thisoldhouse.com/doors/how-to-replace-a-threshold
134,foundation problems,1300,2,128,31,65.88,http://thisoldhouse.com/foundations/bad-foundation-signs
135,fixing home foundation,3600,3,124,33,61.13,http://thisoldhouse.com/foundations/foundation-repair-cost
136,shoe molding,33100,8,121,24,0.69,http://thisoldhouse.com/molding/how-to-install-shoe-molding
137,how much does it cost to reside a house,2900,3,121,30,9.81,http://thisoldhouse.com/siding/siding-replacement-cost
138,tile roofing,27100,8,121,65,8.35,http://thisoldhouse.com/roofing/tile-roof-cost
139,hydraulic cement,22200,9,121,23,0.47,http://thisoldhouse.com/basements/hydraulic-cement-for-leaky-basements
140,how much does it cost to move a house trailer,5400,4,119,25,4.27,http://thisoldhouse.com/moving/how-much-does-it-cost-to-move-a-mobile-home
141,ceiling fan and installation,14800,6,118,39,14.09,http://thisoldhouse.com/ceilings/how-to-install-a-ceiling-fan
142,fixing stucco,27100,8,117,17,9.47,http://thisoldhouse.com/siding/how-to-repair-stucco
143,house on fire,14800,5,116,34,0.06,http://thisoldhouse.com/home-safety/what-really-happens-in-a-house-fire
144,how to set tile,2900,3,114,32,1.71,http://thisoldhouse.com/flooring/tile-setting
145,fixing soffits and fascias,3600,4,114,25,16.92,http://thisoldhouse.com/roofing/how-to-repair-a-rotted-soffit
146,rain spout extensions,22200,6,113,35,0.62,http://thisoldhouse.com/gutters/how-to-extend-a-downspout
147,norm abrams,12100,6,112,44,0.63,http://thisoldhouse.com/cast/norm-abram
148,trim router,5400,5,112,32,0.5,http://thisoldhouse.com/tools/best-trim-routers
149,norm abram,12100,6,112,49,0.63,http://thisoldhouse.com/cast/norm-abram
150,framing square,14800,8,112,27,0.69,http://thisoldhouse.com/tools/choosing-and-using-squares
151,rain gutters and downspouts,18100,6,111,36,4.07,http://thisoldhouse.com/gutters/all-about-gutters-and-downspouts
152,service gas furnace,3600,4,110,16,19.23,http://thisoldhouse.com/heating-cooling/furnace-maintenance
153,timber flooring types,5400,3,110,32,2.31,http://thisoldhouse.com/flooring/all-about-hardwood-floors
154,types of plywood,2400,2,109,28,0.44,http://thisoldhouse.com/woodworking/types-of-plywood
155,gutter replacement,9900,8,109,43,32.71,http://thisoldhouse.com/gutters/how-to-install-rain-gutters
156,foundation inspection,8100,7,107,20,61.82,http://thisoldhouse.com/foundations/foundation-inspection-cost
157,plywood types,880,2,107,33,0.67,http://thisoldhouse.com/woodworking/types-of-plywood
158,this old house cast,5400,3,105,39,0,http://thisoldhouse.com/ask-this-old-house/this-old-house-cast-reflect-on-40-years-of-life-lessons-and-home-renovations
159,cast of this old house,5400,3,105,58,0,http://thisoldhouse.com/
160,cost of metal roof per sq ft,2400,2,104,19,9.27,http://thisoldhouse.com/roofing/metal-roofing-cost
161,servicemaster restore,5400,6,102,50,17.06,http://thisoldhouse.com/natural-disasters/servicemaster-restore-review
162,skylight installation,5400,6,102,40,8.54,http://thisoldhouse.com/ceilings/how-to-install-a-skylight
163,cost per sq ft hardwood floors,2900,4,102,40,4.38,http://thisoldhouse.com/flooring/hardwood-flooring-cost
164,install ventilation fan in bathroom,2900,4,102,30,8.37,http://thisoldhouse.com/bathrooms/how-to-install-a-vent-fan
165,flat roofs,8100,8,101,29,7.85,http://thisoldhouse.com/roofing/building-a-flat-roof-right
166,generator installation,6600,6,101,24,19.53,http://thisoldhouse.com/electrical/how-to-install-a-stand-by-generator
167,sunday lawn,5400,8,100,38,1.08,http://thisoldhouse.com/lawns/sunday-lawn-care
168,bathtub installation,4400,6,99,38,34.31,http://thisoldhouse.com/bathrooms/bathtub-installation-cost
169,seamless gutter prices,1600,2,98,24,17.08,http://thisoldhouse.com/gutters/seamless-gutters-cost
170,fascia roof,8100,7,97,33,4.48,http://thisoldhouse.com/roofing/what-is-fascia-on-a-house
171,asphalt shingle roof,40500,8,97,63,5.43,http://thisoldhouse.com/roofing/shingle-roof-cost
172,flat roof build,170,1,95,20,0.01,http://thisoldhouse.com/roofing/building-a-flat-roof-right
173,pros and cons of a metal roof,1900,2,94,39,5.45,http://thisoldhouse.com/roofing/pros-and-cons-of-metal-roof
174,shower steam,6600,6,94,35,1.16,http://thisoldhouse.com/bathrooms/steam-shower-how-it-works
175,gravel sidewalk,3600,5,94,23,0.76,http://thisoldhouse.com/sidewalks/how-to-lay-a-budget-friendly-gravel-path
176,gutter guards,74000,10,94,61,15.33,http://thisoldhouse.com/gutters/types-of-gutter-guards
177,asphalt driveway install,8100,5,94,12,5.61,http://thisoldhouse.com/driveways/asphalt-driveways
178,gravel walkway,3600,5,94,16,0.76,http://thisoldhouse.com/sidewalks/how-to-lay-a-budget-friendly-gravel-path
179,cottage kitchen,3600,5,94,35,0.5,http://thisoldhouse.com/kitchens/editors-picks-our-favorite-cottage-kitchens
180,settling foundation repair,5400,4,93,17,39.37,http://thisoldhouse.com/foundations/foundation-settling-vs-foundation-problems
181,rubber roofing,9900,9,93,35,3.75,http://thisoldhouse.com/roofing/rubber-roof-cost
182,crawlspace vents,5400,8,93,26,1.57,http://thisoldhouse.com/heating-cooling/should-crawl-space-vents-be-open-or-closed
183,flea pest control price,1600,2,93,26,20.94,http://thisoldhouse.com/pest-control/flea-exterminator-cost
184,lawn mower environmentally friendly,1600,2,93,35,0.96,http://thisoldhouse.com/lawns/how-to-choose-an-eco-friendly-lawn-mower
185,install a jacuzzi bathtub,1600,2,93,24,22.53,http://thisoldhouse.com/bathrooms/installing-a-jetted-tub
186,metal roofing pro and con,1900,2,92,42,5.45,http://thisoldhouse.com/roofing/pros-and-cons-of-metal-roof
187,shower steam install,2900,3,92,26,13.35,http://thisoldhouse.com/bathrooms/steam-shower-how-it-works
188,cost of tin roof vs shingles,5400,4,92,28,8.47,http://thisoldhouse.com/roofing/shingles-vs-metal-roof-cost
189,pros and cons of steel roof,1900,2,92,36,5.45,http://thisoldhouse.com/roofing/pros-and-cons-of-metal-roof
190,tin roofs pros and cons,1900,2,92,26,5.45,http://thisoldhouse.com/roofing/pros-and-cons-of-metal-roof
191,rain gutter diy,2900,3,92,31,1.62,http://thisoldhouse.com/gutters/how-to-install-rain-gutters
192,radon mitigation installation,22200,8,91,51,13.65,http://thisoldhouse.com/safety/how-to-install-radon-mitigation
193,cost for central air and heat,170,1,91,43,9.32,http://thisoldhouse.com/heating-cooling/hvac-installation-cost
194,recommended moving companies,8100,5,90,30,33.91,http://thisoldhouse.com/moving/best-moving-companies
195,how to get rid of old furniture,1300,2,90,20,4.95,http://thisoldhouse.com/moving/charities-that-will-pick-up-furniture-for-free
196,how to remove a circular saw blade,1300,2,90,33,0.07,http://thisoldhouse.com/tools/how-to-change-a-circular-saw-blade
197,smart house,33100,8,90,61,5.21,http://thisoldhouse.com/smart-homes/all-about-smart-homes
198,patio roof,6600,8,90,25,2.67,http://thisoldhouse.com/roofing/cost-to-add-roof-over-patio
199,standard bookshelf depth,1600,2,90,18,2.13,http://thisoldhouse.com/moving/bookcase-basics
200,electric cultivator,8100,9,90,25,0.63,http://thisoldhouse.com/landscaping/best-electric-tillers
201,asphalt shingle roofing,40500,9,89,32,8.775,http://thisoldhouse.com/roofing/shingle-roof-cost
202,blacktop driveway replacement cost,22200,8,89,32,5.54,http://thisoldhouse.com/driveways/cost-to-repave-driveway
203,window seal repair cost,1300,2,88,28,13.8,http://thisoldhouse.com/windows/window-seal-repair
204,how much does bathtub refinishing cost,1300,2,88,28,6.65,http://thisoldhouse.com/bathrooms/bathtub-refinishing-cost
205,duct replacement,3600,5,88,10,20.44,http://thisoldhouse.com/heating-cooling/air-ducts-replacement-cost
206,bat removal,6600,9,88,16,15.96,http://thisoldhouse.com/pest-control/bat-removal-cost
207,pegboard shelves,5400,9,87,26,1.56,http://thisoldhouse.com/moving/simple-peg-board-shelf
208,wood ash,4400,8,87,37,0.35,http://thisoldhouse.com/fireplaces/8-uses-for-wood-ash-at-home-and-in-the-garden
209,changing kitchen sink drain,1600,2,87,23,2.12,http://thisoldhouse.com/kitchens/how-to-replace-a-sink-strainer
210,installing a wind turbine,1600,2,87,35,0.01,http://thisoldhouse.com/solar-alternative-energy/how-to-install-a-home-wind-turbine
211,amazon small houses,22200,8,87,48,0.19,http://thisoldhouse.com/sheds/tiny-houses-you-can-buy-on-amazon
212,replacing an anode rod in a water heater,22200,8,87,26,6.985,http://thisoldhouse.com/plumbing/how-to-change-a-water-heater-anode-rod
213,installing a greywater system,1600,2,87,36,0,http://thisoldhouse.com/lawns/how-to-install-a-graywater-irrigation-system
214,jk moving,6600,8,87,33,24.53,http://thisoldhouse.com/moving/jk-moving-services-review
215,best rodenticide,6600,8,87,26,1.09,http://thisoldhouse.com/pest-control/best-rat-poison
216,stucco siding,5400,9,87,32,3.26,http://thisoldhouse.com/siding/stucco-siding-cost
217,fall fertilizer,2900,5,87,28,1.06,http://thisoldhouse.com/gardening/essential-tips-for-fall-fertilizing
218,gutter fix,720,2,86,34,27.19,http://thisoldhouse.com/gutters/gutter-repair-cost
219,gutter protection systems,5400,4,86,54,21.86,http://thisoldhouse.com/gutters/best-gutter-guards
220,how much does it cost to move a mobile home,6600,5,86,15,2.735,http://thisoldhouse.com/moving/how-much-does-it-cost-to-move-a-mobile-home
221,repairing leather chair,5400,4,86,30,1.86,http://thisoldhouse.com/furniture/how-to-repair-your-favorite-leather-chair
222,home framing,4400,7,86,44,3.45,http://thisoldhouse.com/foundations/from-the-ground-up-framing
223,carpet stretching,4400,7,86,19,5.92,http://thisoldhouse.com/flooring/how-to-stretch-carpet
224,pavers for driveway installation,5400,4,86,34,10.58,http://thisoldhouse.com/driveways/how-to-install-a-permeable-paver-driveway
225,older house styles,1300,2,85,41,0.08,http://thisoldhouse.com/history/american-house-styles
226,varnish meaning,3600,6,85,41,0,http://thisoldhouse.com/woodworking/what-is-varnish
227,old style house,1300,2,85,45,0.08,http://thisoldhouse.com/history/american-house-styles
228,dormer roof,6600,8,85,24,6.14,http://thisoldhouse.com/roofing/dormer-types
229,library ladder,6600,8,85,31,1.47,http://thisoldhouse.com/home-offices/how-to-build-a-rolling-library-ladder
230,drainage solutions,2900,6,85,35,9.23,http://thisoldhouse.com/lawns/lawn-drainage-solutions
231,roof fascia,6600,8,85,21,3.03,http://thisoldhouse.com/roofing/what-is-fascia-on-a-house
232,diy patio,2400,5,85,39,0.98,http://thisoldhouse.com/patios/diy-pathways-and-patios
233,jenn nawada,2400,5,85,36,7.27,http://thisoldhouse.com/cast/jenn-nawada
234,installing gutters diy,1300,2,85,29,3.61,http://thisoldhouse.com/gutters/how-to-install-rain-gutters
235,how to attach rain gutter,8100,5,84,33,8.06,http://thisoldhouse.com/gutters/how-to-install-rain-gutters
236,steam and showers,18100,8,84,49,2.63,http://thisoldhouse.com/bathrooms/steam-shower-how-it-works
237,laundry pan,6600,9,84,25,0.68,http://thisoldhouse.com/plumbing/washing-machine-drain-pan
238,floor leveler,6600,9,84,44,1.02,http://thisoldhouse.com/flooring/how-to-level-a-floor
239,cost of replacement windows installed,8100,5,84,28,27.98,http://thisoldhouse.com/windows/window-replacement-cost
240,window installation services,18100,8,84,61,12.42,http://thisoldhouse.com/windows/best-window-installation-companies
241,low level carbon monoxide detector,6600,5,84,22,3.34,http://thisoldhouse.com/home-safety/about-low-level-carbon-monoxide-detectors
242,fall fertilizer for grass,8100,5,84,23,0.66,http://thisoldhouse.com/gardening/essential-tips-for-fall-fertilizing
243,tub stopper,6600,9,84,28,0.46,http://thisoldhouse.com/plumbing/how-to-fix-a-bathtub-drain-stopper
244,linoleum installation,2400,6,83,30,42.65,http://thisoldhouse.com/flooring/working-with-linoleum
245,california corner,2400,6,83,29,0.17,http://thisoldhouse.com/walls/frame-a-corner
246,new roof,3600,8,83,65,46.98,http://thisoldhouse.com/roofing/read-this-before-you-redo-your-roof
247,foundation repair price,8100,5,83,34,25.42,http://thisoldhouse.com/foundations/foundation-repair-cost
248,bathroom addition cost,8100,5,83,23,14.54,http://thisoldhouse.com/bathrooms/cost-to-add-a-bathroom
249,window springs,2400,6,83,19,1.13,http://thisoldhouse.com/windows/how-to-replace-a-sash-spring-balancer
250,replacing shingles,2400,6,83,36,22.17,http://thisoldhouse.com/roofing/fixing-damaged-roof-shingles
